#摄,韵序,韵母,朗读音,白一平,poly
止	上平5	支A开	jɛ	jie	je
止	上平5	支A合	ɥɛ	jwie	jye
止	上平5	支B开	ɻjɛ	je	ie
止	上平5	支B合	ɻɥɛ	jwe	ye
止	上平6	脂A开	i	jij	jii
止	上平6	脂A合	ɥi	jwij	jyi
止	上平6	脂B开	ɻi	ij	ii
止	上平6	脂B合	ɻɥi	wij	yi
止	上平7	之	ɨ	i	i
止	上平8	微开	ɨj	j+j	ioi
止	上平8	微合	ẅɨj	jw+j	yoi
遇	上平9	鱼	j̈ə	jo	io
遇	上平10	虞	ẅɔ	ju	yo
遇	上平11	模	o	u	o
蟹	上平12	齐开	ej	ej	e
蟹	上平12	齐合	wej	wej	ue
蟹	去声13	祭A开	jɛjɕ	jiejH	jed
蟹	去声13	祭A合	ɥɛjɕ	jwiejH	jyed
蟹	去声13	祭B开	ɻjɛjɕ	jejH	ied
蟹	去声13	祭B合	ɻɥɛjɕ	jwejH	yed
蟹	去声14	泰开	ɑjɕ	ajH	ad
蟹	去声14	泰合	wɑjɕ	wajH	uad
蟹	上平13	佳开	ɻæ	ea	re
蟹	上平13	佳合	wɻæ	wea	rue
蟹	上平14	皆开	ɻæj	eaj	rai
蟹	上平14	皆合	wɻæj	weaj	ruai
蟹	去声17	夬开	ɻajɕ	aejH	rad
蟹	去声17	夬合	wɻajɕ	waejH	ruad
蟹	上平16	咍	ɐj	oj	ai
蟹	上平15	灰	wɔ̞j	woj	uai
蟹	去声20	废开	j̈əjɕ	jojH	iad
蟹	去声20	废合	ẅəjɕ	jwojH	yad
果	下平7	歌	ɑ	a	a
果	下平8	戈一合	wɑ	wa	ua
果	下平8	戈三开	j̈ɑ	ja	ia
果	下平8	戈三合	ẅɑ	jwa	ya
假	下平9	麻二开	ɻa	ae	ra
假	下平9	麻二合	wɻa	wae	rua
假	下平9	麻三开	ja	jae	ia
臻	上平17	真A	in	jin	jin
臻	上平18	真B开	ɻin	in	in
臻	上平19	真B合	ɻɥin	win	yn
臻	上平21	谆	ɥin	jwin	jyn	#据unt无重纽但实际跨AB。
臻	上平21	谆	ɻɥin	win	yn	#据unt无重纽但实际跨AB。知组庄组，即有r，时为B
臻	上平20	臻	ɻi˞n	in	in
臻	上平22	欣	ɨn	j+n	ion
臻	上平22	文	ẅun	jun	yon
山	上平24	元开	j̈ən	jon	ian
山	上平23	元合	ẅən	jwon	yan
臻	上平25	痕	ɘn	on	on
臻	上平26	魂	won	won	uon
山	上平27	寒	ɑn	an	an
山	上平27	桓	wɑn	wan	uan
山	上平28	删开	ɻan	aen	ran
山	上平28	删合	wɻan	waen	ruan
山	下平1	山开	ɻæn	ean	ren
山	下平1	山合	wɻæn	wean	ruen
山	下平2	先开	en	en	en
山	下平2	先合	wen	wen	uen
山	下平2	仙A开	jɛn	jien	jen
山	下平2	仙A合	ɥɛn	jwien	jyen
山	上平17	仙B开	ɻjɛn	jen	ien
山	上平18	仙B合	ɻɥɛn	jwen	yen
效	下平3	萧	ew	ew	eu
效	下平4	宵A	jɛw	jiew	jeu
效	下平4	宵B	ɻjɛw	jew	ieu
效	下平5	肴	ɻaw	aew	rau
效	下平6	豪	ɑw	aw	au
流	下平18	尤	ɥ̈u	juw	iu
流	下平19	侯	ɘu	uw	u
流	下平20	幽	ɥÿ	jiw	y
深	下平21	侵A	im	jim	jim
深	下平21	侵B	ɻim	im	im
咸	下平22	覃	ɐm	om	om
咸	下平23	谈	ɑm	am	am
咸	下平24	盐A	jɛm	jiem	jem
咸	下平24	盐B	ɻjɛm	jem	iem
咸	下平25	添	em	em	em
咸	下平26	咸	ɻæm	eam	rem
咸	下平27	衔	ɻam	aem	ram
咸	下平28	严	j̈əm	jaem	iam
咸	下平29	凡	ẅɞm	jom	yam
通	上平1	东一	uŋʷ	uwng	ung
通	上平1	东三	ẅuŋʷ	juwng	iung
通	上平2	冬	oŋʷ	owng	uung
通	上平3	钟	ẅɔŋʷ	jowng	yung
江	上平4	江	ɻæŋʷ	aewng	rung
宕	下平10	阳开	j̈ɐŋ	jang	iang
宕	下平10	阳合	ẅɐŋ	jwang	yang
宕	下平11	唐开	ɑŋ	ang	ang
宕	下平11	唐合	wɑŋ	wang	uang
梗	下平12	庚二开	ɻaɲ	aeng	rang
梗	下平12	庚二合	wɻaɲ	waeng	ruang
梗	下平12	庚三开	ɻjaɲ	jaeng	ieng
梗	下平12	庚三合	ɻɥaɲ	jwaeng	yeng
梗	下平13	耕开	ɻæɲ	eang	reng
梗	下平13	耕合	wɻæɲ	weang	rueng
梗	下平14	清开	jɛɲ	jieng	jeng	#据unt无重纽但实际跨AB。
梗	下平14	清开	ɻjɛɲ	jeng	ieng	#据unt无重纽但实际跨AB。知组庄组，即有r，时为B
梗	下平14	清合	ɥɛɲ	jwieng	jyeng	#据unt无重纽但实际跨AB。
梗	下平14	清合	ɻɥɛɲ	jweng	yeng	#据unt无重纽但实际跨AB。
梗	下平15	青开	eɲ	eng	eng
梗	下平15	青合	weɲ	weng	ueng
曾	下平16	蒸	ɻiŋ	ing	ing	#据unt无重纽但实际跨AB。
曾	下平16	蒸	iŋ	ing	ing	#据unt无重纽但实际跨AB。精组，章组，日，以母，为此A类。
曾	入声24	职合	ɻɥik	wik	yk
曾	下平17	登开	ɘŋ	ong	ong
曾	下平17	登合	wɘŋ	wong	uong